,year,date,score,place
0,2017,04.01(토),KIA9vs7삼성,대구
1,2017,04.04(화),삼성0vs11LG,잠실
2,2017,04.07(금),삼성2vs3KT,수원
3,2017,04.11(화),한화11vs8삼성,대구
4,2017,04.14(금),삼성6vs9롯데,사직
5,2017,04.18(화),삼성3vs3두산,잠실
6,2017,04.21(금),NC4vs4삼성,대구
7,2017,04.25(화),삼성3vs11KIA,광주
8,2017,04.28(금),SK7vs5삼성,대구
9,2017,05.05(금),삼성2vs7NC,창원
10,2017,05.09(화),LGvs삼성,대구
11,2017,05.16(화),삼성8vs2SK,문학
12,2017,05.19(금),삼성6vs2한화,대전
13,2017,05.23(화),KT12vs3삼성,대구
14,2017,05.26(금),삼성3vs18넥센,고척
15,2017,05.30(화),롯데1vs0삼성,대구
16,2017,06.06(화),삼성12vs10두산,잠실
17,2017,06.09(금),삼성8vs5한화,대전
18,2017,06.13(화),KT0vs4삼성,대구
19,2017,06.20(화),삼성3vs5LG,잠실
20,2017,06.23(금),한화3vs5삼성,대구
21,2017,06.27(화),삼성4vs11KIA,광주
22,2017,06.30(금),삼성5vs7SK,문학
23,2017,07.04(화),롯데2vs4삼성,대구
24,2017,07.11(화),삼성4vs2KT,수원
25,2017,07.18(화),삼성2vs5롯데,사직
26,2017,07.21(금),LG10vs4삼성,대구
27,2017,07.28(금),삼성9vs2넥센,고척
28,2017,08.01(화),두산12vs5삼성,대구
29,2017,08.04(금),삼성4vs3NC,창원
30,2017,08.08(화),LG10vs8삼성,대구
31,2017,08.10(목),삼성vs한화,대전
32,2017,08.12(토),롯데7vs13삼성,대구
33,2017,08.17(목),삼성6vs4KT,수원
34,2017,08.19(토),삼성4vs6LG,잠실
35,2017,08.22(화),삼성5vs11넥센,고척
36,2017,08.24(목),SK9vs7삼성,대구
37,2017,08.31(목),삼성4vs5SK,문학
38,2017,09.02(토),삼성3vs2두산,잠실
39,2017,09.05(화),NC3vs9삼성,대구
40,2017,09.07(목),삼성6vs5롯데,사직
41,2017,09.09(토),삼성5vs6KIA,광주
42,2017,09.12(화),한화6vs2삼성,대구
43,2017,09.14(목),삼성11vs11NC,창원
44,2017,09.16(토),두산9vs5삼성,대구
45,2017,09.23(토),삼성7vs8한화,대전
46,2017,09.27(수),NC11vs1삼성,대구
47,2017,09.30(토),삼성3vs4LG,잠실
48,2017,10.03(화),넥센9vs10삼성,대구
49,2018,04.03(화),삼성3vs4NC,창원
50,2018,04.06(금),삼성vsSK,문학
51,2018,04.10(화),두산8vs1삼성,대구
52,2018,04.13(금),삼성4vs2한화,대전
53,2018,04.17(화),삼성11vs6롯데,사직
54,2018,04.20(금),KT5vs4삼성,대구
55,2018,04.27(금),삼성2vs9LG,잠실
56,2018,05.01(화),SK12vs3삼성,대구
57,2018,05.08(화),삼성9vs4KT,수원
58,2018,05.11(금),KIA3vs8삼성,대구
59,2018,05.18(금),삼성5vs0넥센,고척
60,2018,05.22(화),롯데4vs10삼성,대구
61,2018,05.25(금),삼성6vs1두산,잠실
62,2018,05.29(화),KT14vs4삼성,대구
63,2018,06.01(금),삼성5vs3NC,창원
64,2018,06.05(화),삼성2vs6SK,문학
65,2018,06.08(금),LG9vs5삼성,대구
66,2018,06.12(화),삼성4vs2롯데,사직
67,2018,06.15(금),삼성2vs9넥센,고척
68,2018,06.19(화),SK6vs6삼성,대구
69,2018,06.26(화),삼성13vs2한화,대전
70,2018,06.29(금),넥센8vs7삼성,대구
71,2018,07.03(화),삼성vsKT,수원
72,2018,07.06(금),삼성6vs13두산,잠실
73,2018,07.10(화),롯데3vs6삼성,대구
74,2018,07.17(화),삼성3vs6KIA,광주
75,2018,07.20(금),한화1vs0삼성,대구
76,2018,07.24(화),삼성11vs1LG,잠실
77,2018,07.27(금),KIA10vs11삼성,대구
78,2018,08.04(토),삼성4vs5롯데,사직
79,2018,08.07(화),삼성10vs8SK,문학
80,2018,08.09(목),삼성9vs6LG,잠실
81,2018,08.11(토),NC7vs1삼성,대구
82,2018,09.04(화),삼성5vs3NC,창원
83,2018,09.06(목),두산6vs2삼성,대구
84,2018,09.08(토),삼성4vs12KIA,광주
85,2018,09.11(화),한화8vs7삼성,대구
86,2018,09.15(토),삼성7vs5KT,수원
87,2018,09.18(화),KIA18vs3삼성,대구
88,2018,09.20(목),삼성2vs3넥센,고척
89,2018,09.22(토),롯데5vs2삼성,대구
90,2018,09.25(화),삼성8vs1한화,대전
91,2018,09.27(목),KT6vs7삼성,대구
92,2018,10.06(토),삼성1vs6KT,수원
93,2018,10.09(화),삼성8vs4SK,문학
94,2018,10.13(토),넥센5vs12삼성,대구
95,2019,04.05(금),삼성0vs3SK,문학
96,2019,04.09(화),삼성vsLG,잠실
97,2019,04.12(금),KT0vs5삼성,대구
98,2019,04.19(금),삼성3vs4한화,대전
99,2019,04.23(화),SKvs삼성,대구
100,2019,04.30(화),삼성0vs8KIA,광주
101,2019,05.03(금),삼성3vs8키움,고척
102,2019,05.07(화),NC3vs6삼성,대구
103,2019,05.14(화),삼성4vs3두산,잠실
104,2019,05.17(금),삼성14vs3KT,수원
105,2019,05.21(화),한화3vs9삼성,대구
106,2019,05.28(화),삼성1vs4두산,잠실
107,2019,05.31(금),삼성1vs6롯데,사직
108,2019,06.04(화),NC1vs3삼성,대구
109,2019,06.07(금),삼성2vs4SK,문학
110,2019,06.11(화),삼성1vs7KIA,광주
111,2019,06.14(금),KT4vs7삼성,대구
112,2019,06.21(금),삼성5vs2한화,대전
113,2019,06.25(화),두산2vs11삼성,대구
114,2019,07.02(화),삼성3vs5KT,수원
